2024-07-18 22:58:22,760 - Key.shift
2024-07-18 22:58:22,944 - Key.shift
2024-07-18 22:58:23,225 - '#'
2024-07-18 22:58:24,471 - 'p'
2024-07-18 22:58:24,625 - 'r'
2024-07-18 22:58:24,800 - 'o'
2024-07-18 22:58:25,264 - 'd'
2024-07-18 22:58:25,472 - 'i'
2024-07-18 22:58:26,400 - 'g'
2024-07-18 22:58:26,568 - 'y'
2024-07-18 22:58:26,712 - Key.space
2024-07-18 22:58:26,944 - 'i'
2024-07-18 22:58:27,200 - 'n'
2024-07-18 22:58:27,536 - 'f'
2024-07-18 22:58:27,720 - 'o'
2024-07-18 22:58:28,256 - 't'
2024-07-18 22:58:28,392 - 'e'
2024-07-18 22:58:28,640 - 'c'
2024-07-18 22:58:28,784 - 't'
2024-07-18 22:58:30,000 - Key.backspace
2024-07-18 22:58:30,511 - Key.backspace
2024-07-18 22:58:30,542 - Key.backspace
2024-07-18 22:58:30,574 - Key.backspace
2024-07-18 22:58:30,606 - Key.backspace
2024-07-18 22:58:30,638 - Key.backspace
2024-07-18 22:58:30,667 - Key.backspace
2024-07-18 22:58:30,699 - Key.backspace
2024-07-18 22:58:30,745 - Key.backspace
2024-07-18 22:58:30,777 - Key.backspace
2024-07-18 22:58:30,808 - Key.backspace
2024-07-18 22:58:30,839 - Key.backspace
2024-07-18 22:58:30,870 - Key.backspace
2024-07-18 22:58:31,040 - Key.backspace
2024-07-18 22:58:31,191 - Key.backspace
2024-07-18 22:58:31,559 - Key.backspace
2024-07-18 22:58:31,936 - Key.backspace
2024-07-18 22:58:36,975 - Key.esc
